id_publisher;nome_publisher;appid
9758345803;SimBin;4290
9758345804;Naked Sky Entertainment;4300
9758345805;Focus Home Interactive;4420
9758345806;Focus Home Interactive;4460
9758345807;Focus Home Interactive;4470
9758345808;GSC Game World;4500
9758345809;THQ Nordic;4520
9758345810;THQ Nordic;4530
9758345811;SEGA;4560
9758345812;SEGA;4570
9758345813;SEGA;4580
9758345814;SEGA_Feral Interactive (Mac)_Feral Interactive (Linux);4700
9758345815;SEGA;4720
9758345816;SEGA;4760
9758345817;SEGA;4770
9758345818;SEGA_Feral Interactive (Mac)_Feral Interactive (Linux);4780
9758345819;GSC Game World;4800
9758345820;GSC World Publishing;4850
9758345821;GSC World Publishing;4870
9758345822;GSC World Publishing;4880
9758345823;GSC World Publishing;4890
9758345824;Unknown Worlds Entertainment;4900
9758345825;Unknown Worlds Entertainment;4920
9758345826;LucasArts_Lucasfilm_Disney Interactive;6000
9758345827;LucasArts_Lucasfilm_Disney Interactive;6010
9758345828;LucasArts_Aspyr (Mac)_Lucasfilm_Disney Interactive;6020
9758345829;LucasArts_Aspyr (Mac)_Lucasfilm_Disney Interactive;6030
9758345830;LucasArts;6040
9758345831;Lucasfilm_LucasArts_Disney Interactive;6060
9758345832;LucasArts;6080
9758345833;LucasArts_Lucasfilm_Disney Interactive;6090
9758345834;Klei Entertainment;6120
9758345835;Strategy First;6200
9758345836;Strategy First;6210
9758345837;Strategy First;6220
9758345838;Strategy First;6250
9758345839;Strategy First;6270
9758345840;Funcom;6300
9758345841;Funcom;6310
9758345842;Stunlock Studios;6370
9758345843;HD Publishing;6400
9758345844;HandyGames;6420
9758345845;Capcom;6510
9758345846;Capcom;6550
9758345847;Kalypso Media Digital;6800
9758345848;Kalypso Media Digital;6810
9758345849;Kalypso Media Digital;6830
9758345850;Kalypso Media Digital;6840
9758345851;Io_Interactive A_S;6850
9758345852;Io_Interactive A_S;6860
9758345853;Square Enix;6870
9758345854;Square Enix;6880
9758345855;IO Interactive A_S;6900
9758345856;Square Enix;6910
9758345857;Square Enix;6920
9758345858;Square Enix;6980
9758345859;Square Enix;7000
9758345860;Square Enix;7010
9758345861;Rebellion;7020
9758345862;BioWare Corporation_Electronic Arts;7110
9758345863;Ubisoft;7200
9758345864;Focus Home Interactive;7210
9758345865;Focus Home Interactive;7220
9758345866;Focus Home Interactive;7260
9758345867;Big Fish Games;7340
9758345868;Topware Interactive;7510
9758345869;Topware Interactive_ ACE;7520
9758345870;Topware Interactive;7530
9758345871;2K_Feral Interactive (Mac);7600
9758345872;2K;7610
9758345873;2K;7620
9758345874;2K;7650
9758345875;2K;7660
9758345876;2K;7730
9758345877;2K;7760
9758345878;2K;7770
9758345879;1C Entertainment_1C_SoftClub;7830
9758345880;1C Entertainment;7840
9758345881;1C Entertainment;7860
9758345882;Activision_Aspyr (Mac);7940
9758345883;Square Enix_Feral Interactive (Mac);8000
9758345884;Square Enix;8080
9758345885;Square Enix;8100
9758345886;Square Enix;8140
9758345887;Square Enix;8170
9758345888;Square Enix;8190
9758345889;Telltale Games;8310
9758345890;Telltale Games;8320
9758345891;Telltale Games;8330
9758345892;Telltale Games;8340
9758345893;Activision;8400
9758345894;CCP;8500
9758345895;SimBin;8600
9758345896;SimBin;8790
9758345897;2K;8800
9758345898;2K_Aspyr (Mac);8870
9758345899;2K;8880
9758345900;2K;8890
9758345901;2K_Aspyr (Mac)_Aspyr (Linux);8930
9758345902;2K;8970
9758345903;id Software;9000
9758345904;Bethesda_Softworks;9010
9758345905;id Software;9030
9758345906;id Software;9040
9758345907;id Software;9050
9758345908;id Software;9060
9758345909;id Software;9160
9758345910;id Software;9180
9758345911;Bethesda Softworks;9200
9758345912;SEGA;9310
9758345913;SEGA;9340
9758345914;Square Enix;9350
9758345915;Square Enix;9420
9758345916;SEGA;9450
9758345917;THQ Nordic;9460
9758345918;Deep Silver;9480
9758345919;Chronic Logic;9500
9758345920;THQ Nordic;9710
9758345921;THQ Nordic;9760
9758345922;1C Entertainment;9800
9758345923;THQ Nordic;9850
9758345924;Perfect World Entertainment;9880
9758345925;Perfect World Entertainment;9900
9758345926;Krome Studios;9940
9758345927;Atari;9960
9758345928;Atari;9970
9758345929;Retroism;9980
9758345930;Activision;10090
9758345931;Activision;10100
9758345932;Activision;10110
9758345933;Activision;10120
9758345934;Activision;10130
9758345935;Activision;10140
9758345936;Activision;10150
9758345937;Activision_Aspyr (Mac);10180
9758345938;Akella;10220
9758345939;Akella;10230
9758345940;Akella;10240
9758345941;Akella;10250
9758345942;Akella;10260
9758345943;Kalypso Media Digital;10270
9758345944;SEGA;10460
9758345945;SEGA_Feral Interactive (Mac)_Feral Interactive (Linux);10500
9758345946;SEGA;10680
9758345947;Ubisoft;11020
9758345948;Frogwares;11040
9758345949;Frogwares;11050
9758345950;Frogwares;11130
9758345951;Frogwares;11140
9758345952;Frogwares;11150
9758345953;Frogwares;11190
9758345954;Frozenbyte;11200
9758345955;CINEMAX_ sro;11230
9758345956;Meridian4;11240
9758345957;Buka Entertainment;11250
9758345958;Buka Entertainment;11260
9758345959;Frogames;11280
9758345960;Meridian4;11330
9758345961;Meridian4;11340
9758345962;Meridian4;11360
9758345963;Codemasters;11450
9758345964;1C Entertainment;11480
9758345965;Codemasters;11560
9758345966;Codemasters;11590
9758345967;Rockstar Games;12100
9758345968;Rockstar Games;12110
9758345969;Rockstar Games;12120
9758345970;Rockstar Games;12130
9758345971;Rockstar Games;12140
9758345972;Rockstar Games;12150
9758345973;Rockstar Games;12170
9758345974;Rockstar Games;12180
9758345975;Rockstar Games;12200
9758345976;Rockstar Games;12210
9758345977;Rockstar Games;12220
9758345978;Strategy First;12310
9758345979;Strategy First;12320
9758345980;Strategy First;12330
9758345981;Deck13;12340
9758345982;Strategy First;12360
9758345983;Strategy First;12390
9758345984;Strategy First;12420
9758345985;Kalypso Media Digital;12430
9758345986;Strategy First;12440
9758345987;Strategy First;12450
9758345988;Strategy First;12460
9758345989;Strategy First;12470
9758345990;Strategy First;12480
9758345991;D3Publisher of America_ Inc;12500
9758345992;ValuSoft_Retroism;12510
9758345993;ValuSoft_Play Hard Games;12520
9758345994;ValuSoft_Retroism;12530
9758345995;ValuSoft_Retroism;12540
9758345996;ValuSoft_Retroism;12560
9758345997;ValuSoft_Retroism;12590
9758345998;ValuSoft_Retroism;12600
9758345999;DTP Entertainment;12640
9758346000;ValuSoft_Retroism;12670
9758346001;Codemasters;12710
9758346002;Codemasters;12770
9758346003;Codemasters;12790
9758346004;Codemasters;12810
9758346005;Codemasters;12830
9758346006;Nunchuck Games;13000
9758346007;US Army;13140
9758346008;Epic Games_ Inc;13200
9758346009;Epic Games_ Inc;13210
9758346010;Epic Games_ Inc;13230
9758346011;Epic Games_ Inc;13240
9758346012;Epic Games_ Inc;13250
9758346013;Ubisoft;13500
9758346014;Ubisoft;13520
9758346015;Ubisoft;13530
9758346016;Ubisoft;13540
9758346017;Ubisoft;13560
9758346018;Ubisoft;13570
9758346019;Ubisoft;13580
9758346020;Ubisoft;13600
9758346021;Ubisoft;13620
9758346022;Ubisoft;15000
9758346023;Ubisoft;15080
9758346024;Ubisoft;15100
9758346025;Ubisoft;15120
9758346026;Ubisoft;15130
9758346027;Ubisoft;15160
9758346028;Ubisoft;15170
9758346029;Ubisoft;15190
9758346030;Ubisoft;15200
9758346031;Ubisoft;15210
9758346032;Ubisoft;15240
9758346033;Ubisoft;15270
9758346034;Ubisoft;15300
9758346035;1C Entertainment;15320
9758346036;Ubisoft;15370
9758346037;Ubisoft;15380
9758346038;Ubisoft;15390
9758346039;Oxeye Game Studio;15400
9758346040;Dejobaan Games_ LLC;15500
9758346041;Dejobaan Games_ LLC;15520
9758346042;Dejobaan Games_ LLC;15560
9758346043;SEGA_Feral Interactive (Mac_Linux);15620
9758346044;Oddworld Inhabitants;15700
9758346045;Oddworld Inhabitants;15710
9758346046;Oddworld Inhabitants;15740
9758346047;Oddworld Inhabitants;15750
9758346048;Slam;15800
9758346049;MumboJumbo;15900
9758346050;MumboJumbo;15910
9758346051;MumboJumbo;15920
9758346052;MumboJumbo;15930
9758346053;MumboJumbo;15960
9758346054;MumboJumbo;15970
9758346055;MumboJumbo;16000
9758346056;MumboJumbo;16020
9758346057;MumboJumbo;16030
9758346058;MumboJumbo;16040
9758346059;MumboJumbo;16060
9758346060;Last Day of Work;16100
9758346061;Last Day of Work;16110
9758346062;Last Day of Work;16120
9758346063;Last Day of Work;16130
9758346064;Last Day of Work;16180
9758346065;Last Day of Work;16200
9758346066;Warner Bros Interactive Entertainment;16450
9758346067;blurredVision;16500
9758346068;RedLynx Ltd;16600
9758346069;Miniclipcom;16620
9758346070;Missing Link Games;16710
9758346071;Missing Link Games;16720
9758346072;SouthPeak Games;16730
9758346073;2K;16810
9758346074;BlackFoot Studios;16900
9758346075;Hi_Rez Studios;17080
9758346076;Tilted Mill Entertainment_ Inc;17100
9758346077;Tilted Mill Entertainment_ Inc;17120
9758346078;Tilted Mill Entertainment_ Inc;17140
9758346079;Tilted Mill Entertainment_ Inc;17180
9758346080;Electronic Arts;17300
9758346081;Electronic Arts;17330
9758346082;Electronic Arts;17390
9758346083;Electronic Arts;17410
9758346084;Electronic Arts;17430
9758346085;Electronic Arts;17440
9758346086;Electronic Arts;17450
9758346087;Electronic Arts;17460
9758346088;Electronic Arts;17470
9758346089;Electronic Arts;17480
9758346090;Zombie Panic Team;17500
9758346091;Octoshark Studios;17570
9758346092;Iceberg Interactive;17710
9758346093;Empires;17740
9758346094;Hothead Games;18000
9758346095;Hothead Games;18020
9758346096;Electronic Arts;18040
9758346097;Electronic Arts;18050
9758346098;Hothead Games;18070
9758346099;Futuremark;18120
9758346100;Shorebound Studios;18300
9758346101;Viva Media;18400
9758346102;Viva Media;18420
9758346103;Black Forest Games_THQ Nordic;18470
9758346104;Viva Media;18480
9758346105;Hidden Path Entertainment;18500
9758346106;Inventive Dingo;18600
9758346107;Broken Rules;18700
9758346108;Brian Cronin;18820
9758346109;Konami Digital Entertainment_ Inc_Konami Digital Entertainement GmbH;19000
9758346110;Konami Digital Entertainment_ Inc_Konami Digital Entertainment GmbH;19020
9758346111;Konami Digital Entertainment_ Inc_Konami Digital Entertainment GmbH;19030
9758346112;Konami Digital Entertainment_ Inc_Konami Digital Entertainment GmbH;19080
9758346113;Meridian4;19200
9758346114;Bounce Entertainment;19320
9758346115;Silver Sphere Studios;19500
9758346116;Ubisoft;19800
9758346117;Ubisoft;19830
9758346118;Ubisoft;19900
9758346119;Ubisoft;19980
9758346120;Perpetual FX Creative;20200
9758346121;GSC World Publishing;20510
9758346122;THQ Nordic;20530
9758346123;SEGA;20540
9758346124;THQ Nordic;20550
9758346125;SEGA_Feral Interactive (Mac_Linux);20570
9758346126;Moonpod;20700
9758346127;Moonpod;20710
9758346128;PikPok;20820
9758346129;CD PROJEKT RED_1C_SoftClub;20900
9758346130;CD PROJEKT RED_1C_SoftClub;20920
9758346131;Warner Bros Interactive Entertainment;21000
9758346132;Warner Bros Interactive Entertainment;21010
9758346133;Warner Bros Interactive Entertainment;21030
9758346134;Warner Bros Interactive Entertainment;21090
9758346135;Warner Bros Interactive Entertainment;21100
9758346136;Warner Bros Interactive Entertainment;21130
9758346137;Dark Castle Software;21300
9758346138;Games Faction;21400
9758346139;Candella Systems Ltd;21500
9758346140;Capcom;21640
9758346141;Capcom;21660
9758346142;Capcom;21670
9758346143;Capcom;21680
9758346144;Capcom;21690
9758346145;Ubisoft;21780
9758346146;Ubisoft;21800
9758346147;Ubisoft;21980
9758346148;2D BOY;22000
9758346149;TaleWorlds Entertainment;22100
9758346150;Frictional Games;22120
9758346151;Paradox Interactive;22130
9758346152;Frictional Games;22180
9758346153;ACE Team;22200
9758346154;SEGA;22230
9758346155;Bethesda Softworks;22300
9758346156;Bethesda Softworks;22310
9758346157;Bethesda Softworks;22320
9758346158;Bethesda Softworks;22330
9758346159;Bethesda Softworks;22350
9758346160;Bethesda Softworks;22370
9758346161;Bethesda Softworks;22380
9758346162;Bethesda Softworks;22450
9758346163;Three Donkeys LLC;22500
9758346164;Team17 Digital Ltd;22600
9758346165;Team17 Digital Ltd;22610
9758346166;Team17 Digital Ltd;22650
9758346167;Team17 Digital Ltd;22670
9758346168;Red Chain Games Ltd;23150
9758346169;Square Enix;23300
9758346170;Square Enix;23380
9758346171;Kalypso Media Digital;23400
9758346172;Paradox Interactive;23420
9758346173;Kalypso Media Digital;23450
9758346174;Assemble Entertainment;23460
9758346175;Kalypso Media Digital;23490
9758346176;D3Publisher of America_ Inc;23500
9758346177;D3Publisher of America_ Inc;23530
9758346178;Soldak Entertainment;23600
9758346179;Strategy First;23700
9758346180;Dovetail Games _ Trains;24010
9758346181;Daybreak Game Company;24200
9758346182;Daybreak Game Company;24240
9758346183;Paradox Interactive;24400
9758346184;Paradox Interactive;24410
9758346185;Bit Blot_ LLC;24420
9758346186;Paradox Interactive;24460
9758346187;Paradox Interactive;24480
9758346188;N3V Games;24640
9758346189;N3V Games;24650
9758346190;N3V Games;24670
9758346191;Electronic Arts;24720
9758346192;Electronic Arts;24740
9758346193;Electronic Arts_Aspyr (Mac);24780
9758346194;Electronic Arts;24790
9758346195;Electronic Arts;24800
9758346196;Electronic Arts;24810
9758346197;Electronic Arts;24840
9758346198;Electronic Arts;24870
9758346199;Electronic Arts;24960
9758346200;Electronic Arts;24980
9758346201;Wolfire Games;25000
9758346202;Wolfire Games;25010
9758346203;Mindstorm Studios;25500
9758346204;Basilisk Games;25600
9758346205;Basilisk Games;25620
9758346206;Playbrains;25700
9758346207;Paradox Interactive;25800
9758346208;Paradox Interactive;25830
9758346209;1C Entertainment;25850
9758346210;Paradox Interactive;25890
9758346211;1C Entertainment;25900
9758346212;BattleGoat Studios;25910
9758346213;Nitro Games;25930
9758346214;Paradox Interactive;25980
9758346215;Paradox Interactive;25990
9758346216;Twisted Pixel Games;26000
9758346217;Paleo Entertainment;26300
9758346218;Number None;26800
9758346219;Kloonigames;26900
9758346220;Tale of Tales;27000
9758346221;Tale of Tales;27020
9758346222;Tale of Tales;27050
9758346223;DTP Entertainment;27200
9758346224;Ignition Entertainment;27330
9758346225;Mousechief;27400
9758346226;Red Rocket Games;27600
9758346227;Llamasoft LTD;27800
9758346228;Llamasoft LTD;27810
9758346229;DnS Development;27900
9758346230;DnS Development;27920
9758346231;DnS Development;27940
9758346232;Square Enix;28000
9758346233;KranX Productions;29120
9758346234;KranX Productions;29130
9758346235;Erik Svedäng;29160
9758346236;Hemisphere Games;29180
9758346237;Elecorn;29800
9758346238;ND Games;29900
9758346239;Telltale Games;31270
9758346240;Boll AG;31300
9758346241;HeR Interactive;31800
9758346242;HeR Interactive;31810
9758346243;HeR Interactive;31820
9758346244;HeR Interactive;31830
9758346245;HeR Interactive;31840
9758346246;HeR Interactive;31850
9758346247;HeR Interactive;31860
9758346248;HeR Interactive;31870
9758346249;HeR Interactive;31880
9758346250;HeR Interactive;31890
9758346251;HeR Interactive;31900
9758346252;HeR Interactive;31910
9758346253;HeR Interactive;31920
9758346254;HeR Interactive;31930
9758346255;HeR Interactive;31980
9758346256;Thinking Studios;32000
9758346257;MumboJumbo;32110
9758346258;MumboJumbo;32120
9758346259;MumboJumbo;32140
9758346260;TrueThought;32150
9758346261;MumboJumbo;32160
9758346262;Black Jacket Studios;32200
9758346263;LucasArts_Lucasfilm_Disney Interactive;32310
9758346264;LucasArts_Lucasfilm_Disney Interactive;32330
9758346265;LucasArts_Lucasfilm_Disney Interactive;32340
9758346266;LucasArts_Lucasfilm_Disney Interactive;32350
9758346267;LucasArts_Lucasfilm_Disney Interactive;32360
9758346268;LucasArts_Aspyr (Mac)_Disney Interactive_Lucasfilm;32370
9758346269;LucasArts_Lucasfilm_Disney Interactive;32380
9758346270;LucasArts_Lucasfilm_Disney Interactive;32390
9758346271;LucasArts_Lucasfilm_Disney Interactive;32400
9758346272;LucasArts_Lucasfilm_Disney Interactive;32410
9758346273;LucasArts_Lucasfilm_Disney Interactive;32420
9758346274;LucasArts_Aspyr (Mac)_Lucasfilm_Disney Interactive;32430
9758346275;LucasArts_Lucasfilm_Disney Interactive_Feral Interactive (Mac);32440
9758346276;LucasArts_Lucasfilm_Disney Interactive;32450
9758346277;LucasArts_Lucasfilm_Disney Interactive;32460
9758346278;LucasArts_Lucasfilm_Disney Interactive;32470
9758346279;LucasArts_Lucasfilm_Disney Interactive;32500
9758346280;LucasArts_Lucasfilm_Disney Interactive;32510
9758346281;NovaLogic_THQ Nordic;32610
9758346282;NovaLogic_THQ Nordic;32620
9758346283;NovaLogic_THQ Nordic;32630
9758346284;NovaLogic_THQ Nordic;32640
9758346285;NovaLogic_THQ Nordic;32650
9758346286;NovaLogic_THQ Nordic;32660
9758346287;NovaLogic_THQ Nordic;32670
9758346288;NovaLogic_THQ Nordic;32680
9758346289;NovaLogic_THQ Nordic;32710
9758346290;NovaLogic_THQ Nordic;32720
9758346291;NovaLogic_THQ Nordic;32730
9758346292;NovaLogic_THQ Nordic;32740
9758346293;NovaLogic_THQ Nordic;32750
9758346294;NovaLogic_THQ Nordic;32760
9758346295;NovaLogic_THQ Nordic;32770
9758346296;Enlight Software Limited;32900
9758346297;Sigma Team Inc;33100
9758346298;Sigma Team Inc;33110
9758346299;Sigma Team Inc;33120
9758346300;Sigma Team Inc;33130
9758346301;Sigma Team Inc;33180
9758346302;Ubisoft;33230
9758346303;Ubisoft;33320
9758346304;Ubisoft;33390
9758346305;Ubisoft;33460
9758346306;Kalypso Media Digital;33520
9758346307;Kalypso Media Digital;33570
9758346308;Revolution Software Ltd;33600
9758346309;Revolution Software Ltd;33610
9758346310;Kalypso Media Digital;33620
9758346311;Puzzler;33650
9758346312;Kalypso Media Digital;33660
9758346313;Kalypso Media Digital;33670
9758346314;Zaratustra Productions;33680
9758346315;ValuSoft_Retroism;33760
9758346316;Valusoft;33770
9758346317;ValuSoft;33790
9758346318;Bohemia Interactive;33900
9758346319;Bohemia Interactive;33930
9758346320;Bohemia Interactive;33950
9758346321;Bohemia Interactive;33980
9758346322;Bohemia Interactive;33990
9758346323;SEGA;34010
9758346324;SEGA_Feral Interactive (Mac);34030
9758346325;SEGA;34190
9758346326;1C Entertainment;34410
9758346327;1C Entertainment;34420
9758346328;SaintXi;34500
9758346329;Square Enix;34600
9758346330;Matrix Games_GMX Media;34630
9758346331;Wargamingnet;34640
9758346332;City Interactive SA;34800
9758346333;CI Games;34810
9758346334;CI Games;34820
9758346335;CI Games;34830
9758346336;CI Games;34870
9758346337;Strategy First;34900
9758346338;Strategy First;34920
9758346339;Square Enix;35000
9758346340;Square Enix;35070
9758346341;Square Enix;35130
9758346342;Warner Bros Interactive Entertainment_Feral Interactive (Mac);35140
9758346343;Game Factory Interactive;35300
9758346344;Game Factory Interactive;35310
9758346345;Game Factory Interactive;35320
9758346346;Tripwire Interactive;35450
9758346347;Tripwire Interactive;35460
9758346348;Tripwire Interactive;35480
9758346349;Frima;35600
9758346350;Frozenbyte;35700
9758346351;Frozenbyte;35720
9758346352;Digital Eel;35800
9758346353;Sakari Indie;36000
9758346354;Sandlot Games;36100
9758346355;Sandlot Games;36130
9758346356;Sandlot Games;36180
9758346357;Sandlot Games;36210
9758346358;Sandlot Games;36240
9758346359;Sandlot Games;36300
9758346360;Sandlot Games;36310
9758346361;Sandlot Games;36320
9758346362;3000AD;36900
9758346363;3000AD;36910
9758346364;Ice_Pick Lodge;37000
9758346365;ND Games_bitComposer Games;37010
9758346366;ND Games;37030
9758346367;Citeremis Inc;37100
9758346368;PlayFirst;37210
9758346369;PlayFirst;37220
9758346370;PlayFirst;37230
9758346371;PlayFirst;37240
9758346372;PlayFirst;37260
9758346373;PlayFirst;37270
9758346374;PlayFirst;37280
9758346375;PlayFirst;37300
9758346376;PlayFirst;37310
9758346377;PlayFirst;37320
9758346378;PlayFirst;37330
9758346379;PlayFirst;37340
9758346380;PlayFirst;37370
9758346381;PlayFirst;37380
9758346382;PlayFirst;37390
9758346383;Size Five Games;37400
9758346384;Yullaby;37500
9758346385;Vectorpark;37600
9758346386;Phantom EFX;37700
9758346387;Gamerizon;37800
9758346388;iWin;37960
9758346389;iWin;38000
9758346390;iWin;38070
9758346391;iWin;38080
9758346392;iWin;38090
9758346393;iWin;38100
9758346394;iWin;38110
9758346395;iWin;38120
9758346396;iWin;38130
9758346397;iWin;38140
9758346398;iWin;38150
9758346399;iWin;38160
9758346400;iWin;38170
9758346401;iWin;38180
9758346402;iWin;38190
9758346403;SouthPeak Games;38210
9758346404;Toplitz Productions;38230
9758346405;Bethesda Softworks;38400
9758346406;Bethesda Softworks;38410
9758346407;Bethesda Softworks;38420
9758346408;Interplay Inc;38430
9758346409;Interplay Inc;38450
9758346410;Interplay Inc;38460
9758346411;Interplay Inc;38490
9758346412;Subsoap;38600
9758346413;Two Tribes Publishing;38700
9758346414;Two Tribes Publishing;38720
9758346415;Two Tribes Publishing;38740
9758346416;NASA;39000
9758346417;Square Enix;39110
9758346418;Trion Worlds;39120
9758346419;Square Enix;39140
9758346420;Square Enix;39150
9758346421;Square Enix;39190
9758346422;Square Enix;39200
9758346423;Square Enix;39210
9758346424;THQ Nordic;39500
9758346425;THQ Nordic;39510
9758346426;THQ Nordic;39520
9758346427;THQ Nordic;39540
9758346428;THQ Nordic;39560
9758346429;THQ Nordic;39630
9758346430;THQ Nordic;39640
9758346431;THQ Nordic;39650
9758346432;THQ Nordic;39660
9758346433;THQ Nordic;39670
9758346434;THQ Nordic;39680
9758346435;THQ Nordic;39690
9758346436;DiezelPower;39800
9758346437;ZoopTEK;39900
9758346438;Square Enix;40100
9758346439;Sabi Games;40200
9758346440;Sabi Games;40210
9758346441;Deep Silver;40300
9758346442;Deep Silver;40320
9758346443;Deep Silver;40330
9758346444;Deep Silver;40340
9758346445;Deep Silver;40350
9758346446;Deep Silver;40380
9758346447;Deep Silver;40390
9758346448;Arcen Games_ LLC;40400
9758346449;Arcen Games_ LLC;40420
9758346450;Makivision Games;40500
9758346451;Amanita Design;40700
9758346452;Amanita Design;40720
9758346453;2K;40930
9758346454;FireFly Studios;40950
9758346455;FireFly Studios;40970
9758346456;FireFly Studios;40980
9758346457;2K;40990
9758346458;Devolver Digital;41000
9758346459;Devolver Digital;41070
9758346460;KranX Productions;41100
9758346461;Nimbly Games;41300
9758346462;Dream Forge Entertainment_ LLC;41400
9758346463;Runic Games;41500
9758346464;Interplay Inc;41600
9758346465;Interplay Inc;41660
9758346466;Interplay Inc;41680
9758346467;GSC Game World;41700
9758346468;Ice_Pick Lodge_bitComposer Games_Viva Media_Nordic Games;41740
9758346469;Positech Games;41800
9758346470;inXile Entertainment;41900
9758346471;LoadComplete;42000
9758346472;Fatshark;42120
9758346473;Fatshark;42140
9758346474;Fatshark;42170
9758346475;HeR Interactive;42210
9758346476;HeR Interactive;42220
9758346477;HeR Interactive;42230
9758346478;Instinct Software Ltd;42500
9758346479;Activision;42670
9758346480;Activision;42700
9758346481;Paradox Interactive;42810
9758346482;Paradox Interactive;42850
9758346483;Paradox Interactive;42890
9758346484;Paradox Interactive;42910
9758346485;Paradox Interactive;42920
9758346486;1C Entertainment;42930
9758346487;1C Entertainment;42940
9758346488;1C Entertainment;42950
9758346489;Paradox Interactive;42960
9758346490;Paradox Interactive;42980
9758346491;Paradox Interactive;42990
9758346492;Square Enix;43000
9758346493;HandyGames;43100
9758346494;Signo & Arte;43190
9758346495;Kalypso Media Digital;43500
9758346496;HeR Interactive;43600
9758346497;New Star Games Ltd;44100
9758346498;Codemasters_Feral Interactive (Mac);44350
9758346499;Codemasters;44360
9758346500;SimBin;44600
9758346501;RaceRoom Entertainment AG_SimBin;44680
9758346502;SimBin;44690
9758346503;Cadenza Interactive;45000
9758346504;Artery Games;45100
9758346505;Gaijin Entertainment;45300
9758346506;Nemesys Games;45400
9758346507;Nemesys Games;45410
9758346508;Nemesys Games;45420
9758346509;Nemesys Games;45450
9758346510;Capcom;45700
9758346511;Capcom;45710
9758346512;Capcom;45720
9758346513;Capcom;45730
9758346514;Capcom;45740
9758346515;Capcom;45750
9758346516;Capcom;45760
9758346517;Capcom;45770
